"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"U.S. Senator","Thor Amundson","(Prefers Independent Party)",9393,0.55,"Federal"
"U.S. Senator","Dave Strider","(Prefers Independent Party)",6821,0.4,"Federal"
"U.S. Senator","Joey Gibson","(Prefers Republican Party)",38676,2.27,"Federal"
"U.S. Senator","Mike Luke","(Prefers Libertarian Party)",12302,0.72,"Federal"
"U.S. Senator","GoodSpaceGuy","(Prefers Republican Party)",7057,0.41,"Federal"
"U.S. Senator","Clint R. Tannehill","(Prefers Democratic Party)",35770,2.1,"Federal"
"U.S. Senator","Maria Cantwell","(Prefers Democratic Party)",929961,54.68,"Federal"
"U.S. Senator","Susan Hutchison","(Prefers Republican Party)",413317,24.3,"Federal"
"U.S. Senator","Brad Chase","(Prefers FDFR Party)",2655,0.16,"Federal"
"U.S. Senator","Tim Owen","(Prefers Republican Party)",23167,1.36,"Federal"
"U.S. Senator","Matthew D. Heines","(Prefers Republican Party)",7737,0.45,"Federal"
"U.S. Senator","Sam Wright","(Prefers The Human Rights Party)",3761,0.22,"Federal"
"U.S. Senator","Art Coday","(Prefers Republican Party)",30654,1.8,"Federal"
"U.S. Senator","John Orlinski","(Prefers Republican Party)",6905,0.41,"Federal"
"U.S. Senator","Charlie R Jackson","(Prefers Independent Party)",2411,0.14,"Federal"
"U.S. Senator","Keith Swank","(Prefers Republican Party)",39818,2.34,"Federal"
"U.S. Senator","Alex Tsimerman","(Prefers StandupAmerica Party)",1366,0.08,"Federal"
"U.S. Senator","RC Smith","(Prefers Republican Party)",2238,0.13,"Federal"
"U.S. Senator","Don L. Rivers","(Prefers Democratic Party)",12634,0.74,"Federal"
"U.S. Senator","Jennifer Gigi Ferguson","(Prefers Independent Party)",25224,1.48,"Federal"
"U.S. Senator","Steve Hoffman","(Prefers Freedom Socialist Party)",7390,0.43,"Federal"
"U.S. Senator","George H. Kalberer","(Prefers Democratic Party)",2448,0.14,"Federal"
"U.S. Senator","James Robert &quot;Jimmie&quot; Deal","(Prefers Green Party)",3849,0.23,"Federal"
"U.S. Senator","Roque &quot;Rocky&quot; De La Fuente","(Prefers Republican Party)",5724,0.34,"Federal"
"U.S. Senator","Jon Butler","(Prefers Independent Party)",2016,0.12,"Federal"
